MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
477468900,2024-01-01T00:00:00,48.43472,-123.20313,12.5,175.6,175,OCEAN LEGEND,IMO9840673,VRTD9,70,0,225,32,13.6,70,A
338115691,2024-01-01T00:00:05,33.5628,-79.08385,0,349.5,511,BLISS,IMO0000000,,37,,13,4,,,B
636021773,2024-01-01T00:00:05,28.76683,-94.42386,13.2,177.2,178,POINTIS,IMO9719410,5LFP6,80,0,225,36,12.4,80,A
369020000,2024-01-01T00:00:05,24.56893,-80.93664,12.6,251.7,250,TINA PYNE,IMO9758959,WDI5698,52,0,205,24,5.6,57,A
368178650,2024-01-01T00:00:04,32.71518,-117.22836,0,247.3,319,AQUILA,,WDL9389,37,0,40,8,2,37,A
368251670,2024-01-01T00:00:02,45.79513,-83.69593,13.2,137.1,136,MARK W. BARKER,IMO9962445,WDM9326,70,0,195,24,6.9,70,A
367725310,2024-01-01T00:00:02,29.4434,-89.28522,0,316.5,511,MY ANGEL,IMO8036299,WDI7096,30,,22,7,,,B
367638180,2024-01-01T00:00:00,40.66707,-74.014,0,360,511,NYPD 4,,WDH6459,55,0,0,0,0,55,A
316015155,2024-01-01T00:00:31,35.10697,-77.03438,0,144.7,511,FOXY FLAMINGO,IMO0000000,VBA2018,37,,12,4,,,B
367491410,2024-01-01T00:00:08,47.65594,-122.38108,0,360,511,CAPE FLATTERY,IMO0000000,WDF8102,30,,19,6,,,B
338375173,2024-01-01T00:00:09,47.6827,-122.40644,0,360,511,CADEAU,IMO0000000,,37,,16,11,,,B
338383494,2024-01-01T00:00:10,32.71073,-117.2324,0,70.5,511,MAKAU,IMO0000000,WCE7341,36,,12,4,,,B
367169710,2024-01-01T00:00:12,39.57232,-76.10317,0,292.9,309,CAPT TED,,WDD6210,52,0,32,9,2.8,52,A
368093210,2024-01-01T00:00:12,33.61575,-117.9062,0,360,511,TEMPTRESS,IMO0000000,WDK8341,37,,17,5,,,B
338434877,2024-01-01T00:00:12,27.72082,-82.55229,8,220.7,220,FREESTYLE,IMO0000000,,37,,45,20,,,B
368224850,2024-01-01T00:00:10,40.41909,-74.03425,0,159.7,300,COURAGEOUS,IMO9891555,WDM6391,65,8,43,12,3,65,A
367648760,2024-01-01T00:00:14,28.45486,-80.37653,6.9,171.8,511,STELLINA,IMO0000000,WDH7499,36,,17,5,,,B
368954410,2024-01-01T00:00:16,30.33893,-88.51203,0,0,15,B E LINDHOLM,IMO8402773,WCY9878,33,5,91,16,6.1,33,A
338032241,2024-01-01T00:00:10,33.98087,-118.44919,0,57.4,511,JUS' PUCKIN' AROUND,IMO0000000,,37,,15,5,,,B
367115280,2024-01-01T00:00:47,39.23282,-75.03234,0,360,511,A J MEERWALD,,WCW7096,60,5,27,6,3.4,60,A
338236965,2024-01-01T00:00:15,39.31523,-76.40115,0,360,511,TRIGGER HAPPY IV,IMO0000000,,37,,14,4,,,B
369493144,2024-01-01T00:00:16,33.89388,-78.03343,0,360,511,CG47287,,CG47287,51,0,14,4,1,51,A
338432553,2024-01-01T00:00:19,37.97327,-122.48051,0,360,511,OLIVIA,IMO0000000,,37,,13,4,,,B
316040584,2024-01-01T00:00:22,48.88398,-123.32649,0,173.9,511,GRAPPLE,IMO0000000,VY9372,52,,4,11,,,B
367675630,2024-01-01T00:00:23,28.40801,-80.63038,0,232,511,MON SHERI,IMO0000000,WDI2191,37,,32,6,,,B
367755430,2024-01-01T00:00:26,32.72612,-117.19088,0,244.8,511,WORKLIFE BALANCE,IMO0000000,WDJ2120,36,,14,4,,,B
367504960,2024-01-01T00:00:26,29.97828,-90.40077,0,304.5,330,NATCHEZ EXPRESS,,WDF9419,31,5,120,34,3.1,57,A
368286350,2024-01-01T00:00:27,47.30314,-122.50989,0.3,162.8,511,FLIPS AHOY,IMO0000000,WDN5020,37,,9,3,,,B
338488226,2024-01-01T00:00:29,33.60589,-117.90086,6,129.4,511,VITAMIN SEA,IMO0000000,,37,,12,4,,,B
367402280,2024-01-01T00:00:33,38.32706,-75.10278,0,266.3,511,ELISE G,IMO7647302,WDE8163,30,,24,6,,,B
367360260,2024-01-01T00:00:55,41.89108,-87.60584,0,91.1,511,ODYSSEY LAKE MI_IGAN,,WBU4276,60,5,61,12,2.5,59,A
367683460,2024-01-01T00:00:31,33.72048,-118.28001,0,125.9,511,ISLERO,IMO0000000,WDI2954,36,,16,5,,,B
368164750,2024-01-01T00:00:59,27.85508,-97.16993,0,140.3,511,SAIPAN,,WDL7925,31,5,24,8,6.5,31,A
368124740,2024-01-01T00:00:34,47.62813,-122.39414,0,360,511,CHEERS,IMO0000000,WDL3760,37,,12,6,,,B
367079190,2024-01-01T00:00:32,28.40864,-80.62582,0,342.6,342,W()4% W!4%2,IMO8938617,WDJ6610,30,,15,10,,,B
249779000,2024-01-01T00:00:58,30.12871,-88.51694,0,210.2,185,NAVE EQUATOR,IMO9399923,9HA2004,80,1,183,32,8.7,80,A
367798430,2024-01-01T00:01:04,40.72801,-73.96583,21.8,177.6,179,STARLIGHT,,WDJ6505,60,0,26,8,2,60,A
373071000,2024-01-01T00:00:08,29.60395,-89.8551,12.1,100.7,100,ATLANTIC LAUREL,IMO9494747,3FGO3,70,0,178,29,9.5,70,A
368079960,2024-01-01T00:00:26,42.36081,-71.05036,0,171.7,511,ENCORE II,IMO0000000,WDK6975,60,,12,4,,,B
218851000,2024-01-01T00:00:45,19.73586,-66.09349,18.3,67.9,68,GUAYAQUIL EXPRESS,IMO9777620,DJQC2,71,0,333,48,11,71,A
